1,Bastien,Bernard,1,1,2
2,Xavier,Bonnet,2,1,6
3,Thimothé,Boyer,3,2,4
4,Clémence,Caron,2,2,3
5,Aurore,Cartier,2,3,5
6,Thomas,Chevalier,2,3,4
7,Marie,Colin,2,2,3
8,Séverinne,Cordier,2,3,5
9,Morgane,Delaunay,1,3,3
10,Benjamin,Dubois,2,1,2
11,Chistelle,Dufour,1,1,3
12,Véronique,Dumond,1,1,3
13,Laurent,Dupond,2,1,6
14,Virginie,Dupuy,3,2,6
15,Rémy,Durand,2,1,2
16,Nathalie,Duval,2,1,3
17,Julien,Faure,2,2,6
18,Jean,Fontaine,3,2,6
19,Antoine,Fournier,3,1,6
20,Anaëlle,Garcia,2,1,3
21,Philippe,Garnier,2,2,4
22,Joëlle,Gilbert,1,3,3
23,Jérémy,Girard,3,1,6
24,Gilles,Grillot,4,4,7
25,Hugo,Guérin,3,1,4
26,Nadine,Guillot,3,1,6
27,Nathalie,Henry,2,1,3
28,Lucas,Lambert,2,1,6
29,Laure,Lamy,1,3,3
30,Adèle,Laporte,3,1,5
31,Claudine,Leclerc,2,2,6
32,Fabienne,Lecomte,3,2,6
33,Etienne,Lefevre,1,2,2
34,Frédéric,Legrand,2,3,4
35,Mathilde,Lemaire,1,1,3
36,François,Leroy,1,2,2
37,Mathias,Martin,1,1,2
38,Evelyne,Mathieu,4,4,7
39,Jonathan,Mercier,2,2,6
40,Marie,Meunier,1,1,3
41,Vanessa,Meyer,1,1,3
42,Lucie,Monnier,2,3,6
43,Lucas,Moreau,1,2,2
44,Léo,Morel,3,1,6
45,Manon,Morin,2,1,3
46,Pierre,Muller,2,2,6
47,Cécile,Payet,2,2,6
48,Chloé,Perrin,2,1,3
49,Ethan,Petit,1,1,2
50,Elodie,Rey,2,2,3
51,Pierre,Rousseau,3,2,6
52,Paul,Roux,3,1,4
53,Philippe,Roux,4,4,1
54,Clara,Tessier,2,3,6
55,Claire,Vidal,2,2,3
56,Thomas,Vincent,3,2,6
